date, reward, step
2017-02-08 11:07:29, -21, 1212
2017-02-08 11:07:30, -21, 1244
2017-02-08 11:07:30, -21, 1217
2017-02-08 11:07:31, -20, 1320
2017-02-08 11:07:31, -21, 1304
2017-02-08 11:07:32, -21, 1337
2017-02-08 11:07:32, -21, 1328
2017-02-08 11:07:32, -20, 1348
2017-02-08 11:07:32, -20, 1368
2017-02-08 11:07:33, -20, 1407
2017-02-08 11:07:33, -20, 1416
2017-02-08 11:07:33, -20, 1425
2017-02-08 11:07:34, -21, 1439
2017-02-08 11:07:34, -20, 1444
2017-02-08 11:07:34, -20, 1444
2017-02-08 11:07:34, -20, 1440
2017-02-08 11:07:34, -21, 1472
2017-02-08 11:07:34, -21, 1462
2017-02-08 11:07:34, -20, 1493
2017-02-08 11:07:36, -21, 1562
2017-02-08 11:07:36, -20, 1556
2017-02-08 11:07:36, -20, 1534
2017-02-08 11:07:37, -21, 1628
2017-02-08 11:07:37, -19, 1581
2017-02-08 11:07:38, -19, 1664
2017-02-08 11:07:40, -19, 1727
2017-02-08 11:07:40, -19, 1740
2017-02-08 11:07:42, -19, 1775
2017-02-08 11:07:42, -18, 1864
2017-02-08 11:07:43, -19, 1805
2017-02-08 11:07:43, -20, 1836
2017-02-08 11:07:45, -20, 1901
2017-02-08 11:07:45, -20, 1482
2017-02-08 11:07:57, -21, 1313
2017-02-08 11:07:57, -21, 1332
2017-02-08 11:07:58, -20, 1343
2017-02-08 11:07:59, -21, 1302
2017-02-08 11:07:59, -21, 1269
2017-02-08 11:08:00, -20, 1338
2017-02-08 11:08:00, -21, 1296
2017-02-08 11:08:00, -21, 1262
2017-02-08 11:08:01, -21, 1384
2017-02-08 11:08:03, -20, 1377
2017-02-08 11:08:03, -21, 1472
2017-02-08 11:08:03, -21, 1458
2017-02-08 11:08:03, -20, 1377
2017-02-08 11:08:04, -21, 1415
2017-02-08 11:08:04, -21, 1290
2017-02-08 11:08:05, -19, 1499
2017-02-08 11:08:05, -20, 1383
2017-02-08 11:08:05, -21, 1371
2017-02-08 11:08:06, -20, 1520
2017-02-08 11:08:07, -21, 1516
2017-02-08 11:08:08, -20, 1409
2017-02-08 11:08:09, -20, 1661
2017-02-08 11:08:09, -21, 1611
2017-02-08 11:08:10, -19, 1709
2017-02-08 11:08:10, -21, 1232
2017-02-08 11:08:11, -21, 1497
2017-02-08 11:08:11, -21, 1404
2017-02-08 11:08:12, -20, 1694
2017-02-08 11:08:12, -20, 1548
2017-02-08 11:08:12, -21, 1444
2017-02-08 11:08:15, -18, 1794
2017-02-08 11:08:15, -19, 1616
2017-02-08 11:08:16, -20, 1504
2017-02-08 11:08:16, -20, 1592
2017-02-08 11:08:21, -21, 1236
2017-02-08 11:08:25, -21, 1305
2017-02-08 11:08:26, -20, 1404
2017-02-08 11:08:26, -21, 1202
2017-02-08 11:08:28, -20, 1422
2017-02-08 11:08:29, -19, 1521
2017-02-08 11:08:30, -20, 1480
2017-02-08 11:08:30, -19, 1545
2017-02-08 11:08:30, -21, 1344
2017-02-08 11:08:32, -18, 1798
2017-02-08 11:08:32, -20, 1418
2017-02-08 11:08:33, -21, 1329
2017-02-08 11:08:33, -20, 1535
2017-02-08 11:08:33, -20, 1462
2017-02-08 11:08:34, -20, 1754
2017-02-08 11:08:34, -20, 1583
2017-02-08 11:08:34, -21, 1611
2017-02-08 11:08:35, -21, 1268
2017-02-08 11:08:36, -19, 1612
2017-02-08 11:08:36, -21, 1252
2017-02-08 11:08:36, -20, 1523
2017-02-08 11:08:36, -21, 1253
2017-02-08 11:08:36, -20, 1418
2017-02-08 11:08:36, -21, 1359
2017-02-08 11:08:37, -20, 1508
2017-02-08 11:08:37, -21, 1349
2017-02-08 11:08:40, -20, 1455
2017-02-08 11:08:40, -21, 1545
2017-02-08 11:08:41, -21, 1485
2017-02-08 11:08:43, -21, 1449
2017-02-08 11:08:43, -21, 1445
2017-02-08 11:08:48, -20, 1644
2017-02-08 11:08:51, -21, 1530
2017-02-08 11:08:53, -21, 1347
2017-02-08 11:08:55, -21, 1307
2017-02-08 11:08:55, -20, 1412
2017-02-08 11:08:57, -20, 1324
2017-02-08 11:08:58, -19, 1643
2017-02-08 11:09:01, -19, 1526
2017-02-08 11:09:01, -21, 1272
2017-02-08 11:09:02, -21, 1512
2017-02-08 11:09:02, -21, 1217
2017-02-08 11:09:03, -21, 1355
2017-02-08 11:09:03, -21, 1439
2017-02-08 11:09:04, -21, 1314
2017-02-08 11:09:05, -21, 1293
2017-02-08 11:09:05, -21, 1300
2017-02-08 11:09:05, -21, 1318
2017-02-08 11:09:05, -18, 1654
2017-02-08 11:09:05, -20, 1455
2017-02-08 11:09:06, -20, 1550
2017-02-08 11:09:06, -19, 1470
2017-02-08 11:09:06, -21, 1427
2017-02-08 11:09:08, -20, 1414
2017-02-08 11:09:08, -19, 1625
2017-02-08 11:09:08, -20, 1623
2017-02-08 11:09:10, -21, 1204
2017-02-08 11:09:10, -20, 1498
2017-02-08 11:09:10, -21, 1307
2017-02-08 11:09:12, -21, 1636
2017-02-08 11:09:12, -18, 1818
2017-02-08 11:09:15, -21, 1415
2017-02-08 11:09:15, -19, 1593
2017-02-08 11:09:17, -21, 1254
2017-02-08 11:09:17, -20, 1658
2017-02-08 11:09:20, -21, 1278
2017-02-08 11:09:23, -21, 1262
2017-02-08 11:09:25, -21, 1350
2017-02-08 11:09:26, -21, 1302
2017-02-08 11:09:28, -20, 1587
2017-02-08 11:09:28, -21, 1308
2017-02-08 11:09:30, -21, 1215
2017-02-08 11:09:30, -19, 1518
2017-02-08 11:09:32, -21, 1211
2017-02-08 11:09:33, -21, 1305
2017-02-08 11:09:33, -21, 1424
2017-02-08 11:09:33, -21, 1314
2017-02-08 11:09:33, -21, 1353
2017-02-08 11:09:34, -20, 1394
2017-02-08 11:09:35, -20, 1509
2017-02-08 11:09:35, -21, 1419
2017-02-08 11:09:35, -21, 1222
2017-02-08 11:09:36, -21, 1347
2017-02-08 11:09:36, -21, 1385
2017-02-08 11:09:36, -20, 1438
2017-02-08 11:09:37, -19, 1720
2017-02-08 11:09:37, -21, 1594
2017-02-08 11:09:37, -20, 1433
2017-02-08 11:09:38, -21, 1317
2017-02-08 11:09:39, -21, 1410
2017-02-08 11:09:41, -21, 1456
2017-02-08 11:09:44, -20, 1480
2017-02-08 11:09:45, -20, 1757
2017-02-08 11:09:45, -21, 1271
2017-02-08 11:09:46, -19, 2123
2017-02-08 11:09:46, -19, 1992
2017-02-08 11:09:47, -21, 1503
2017-02-08 11:09:49, -21, 1367
2017-02-08 11:09:50, -18, 1780
2017-02-08 11:09:53, -21, 1425
2017-02-08 11:09:54, -21, 1331
2017-02-08 11:09:54, -21, 1272
2017-02-08 11:09:55, -21, 1218
2017-02-08 11:09:56, -16, 1995
2017-02-08 11:09:56, -21, 1347
2017-02-08 11:09:57, -21, 1284
2017-02-08 11:09:58, -20, 1590
2017-02-08 11:09:58, -18, 1719
2017-02-08 11:10:01, -20, 1503
2017-02-08 11:10:01, -21, 1289
2017-02-08 11:10:02, -21, 1224
2017-02-08 11:10:03, -21, 1388
2017-02-08 11:10:03, -19, 1532
2017-02-08 11:10:04, -20, 1352
2017-02-08 11:10:05, -20, 1608
2017-02-08 11:10:06, -20, 1565
2017-02-08 11:10:06, -20, 1684
2017-02-08 11:10:07, -20, 1668
2017-02-08 11:10:08, -21, 1206
2017-02-08 11:10:11, -20, 1889
2017-02-08 11:10:11, -20, 1571
2017-02-08 11:10:11, -21, 1314
2017-02-08 11:10:11, -20, 1407
2017-02-08 11:10:12, -20, 1433
2017-02-08 11:10:12, -17, 2128
2017-02-08 11:10:13, -17, 1964
2017-02-08 11:10:13, -19, 1940
2017-02-08 11:10:14, -21, 1310
2017-02-08 11:10:15, -20, 1546
2017-02-08 11:10:18, -21, 1305
2017-02-08 11:10:18, -21, 1306
2017-02-08 11:10:19, -20, 1349
2017-02-08 11:10:20, -21, 1310
2017-02-08 11:10:21, -21, 1259
2017-02-08 11:10:22, -21, 1421
2017-02-08 11:10:23, -21, 1782
2017-02-08 11:10:25, -21, 1257
2017-02-08 11:10:25, -21, 1301
2017-02-08 11:10:27, -20, 1517
2017-02-08 11:10:28, -21, 1414
2017-02-08 11:10:29, -20, 1751
2017-02-08 11:10:30, -20, 1694
2017-02-08 11:10:31, -21, 1211
2017-02-08 11:10:31, -21, 1356
2017-02-08 11:10:32, -21, 1402
2017-02-08 11:10:32, -21, 1352
2017-02-08 11:10:33, -20, 1508
2017-02-08 11:10:34, -20, 1422
2017-02-08 11:10:34, -19, 1629
2017-02-08 11:10:35, -21, 1254
2017-02-08 11:10:35, -21, 1256
2017-02-08 11:10:36, -21, 1294
2017-02-08 11:10:36, -21, 1217
2017-02-08 11:10:36, -21, 1316
2017-02-08 11:10:36, -19, 1737
2017-02-08 11:10:41, -20, 1493
2017-02-08 11:10:42, -21, 1209
2017-02-08 11:10:45, -21, 1260
2017-02-08 11:10:45, -20, 1623
2017-02-08 11:10:45, -21, 1404
2017-02-08 11:10:47, -21, 1251
2017-02-08 11:10:47, -19, 1936
2017-02-08 11:10:49, -21, 1424
2017-02-08 11:10:50, -21, 1289
2017-02-08 11:10:52, -19, 1780
2017-02-08 11:10:54, -17, 2036
2017-02-08 11:10:55, -21, 1348
2017-02-08 11:10:55, -21, 1329
2017-02-08 11:10:55, -20, 1419
2017-02-08 11:10:56, -17, 1776
2017-02-08 11:10:57, -21, 1265
2017-02-08 11:10:59, -20, 1408
2017-02-08 11:10:59, -20, 1691
2017-02-08 11:10:59, -20, 1428
2017-02-08 11:11:02, -21, 1294
2017-02-08 11:11:02, -18, 1775
2017-02-08 11:11:03, -21, 1370
2017-02-08 11:11:03, -20, 1408
2017-02-08 11:11:03, -20, 1347
2017-02-08 11:11:04, -20, 1512
2017-02-08 11:11:04, -21, 1400
2017-02-08 11:11:05, -20, 1619
2017-02-08 11:11:06, -19, 1664
2017-02-08 11:11:09, -21, 1635
2017-02-08 11:11:09, -21, 1372
2017-02-08 11:11:09, -18, 1676
2017-02-08 11:11:09, -20, 1348
2017-02-08 11:11:10, -21, 1218
2017-02-08 11:11:10, -21, 1196
2017-02-08 11:11:15, -21, 1218
2017-02-08 11:11:18, -21, 1320
2017-02-08 11:11:18, -20, 1476
2017-02-08 11:11:19, -20, 1610
2017-02-08 11:11:20, -20, 1536
2017-02-08 11:11:21, -21, 1215
2017-02-08 11:11:23, -20, 1413
2017-02-08 11:11:23, -20, 1473
2017-02-08 11:11:24, -21, 1427
2017-02-08 11:11:25, -21, 1384
2017-02-08 11:11:26, -21, 1272
2017-02-08 11:11:27, -20, 1406
2017-02-08 11:11:27, -21, 1412
2017-02-08 11:11:28, -19, 1503
2017-02-08 11:11:28, -21, 1366
2017-02-08 11:11:30, -20, 1452
2017-02-08 11:11:31, -21, 1738
2017-02-08 11:11:31, -20, 1334
2017-02-08 11:11:32, -20, 1403
2017-02-08 11:11:36, -21, 1538
2017-02-08 11:11:36, -20, 1504
2017-02-08 11:11:37, -20, 1535
2017-02-08 11:11:37, -19, 1488
2017-02-08 11:11:38, -20, 1618
2017-02-08 11:11:39, -20, 1398
2017-02-08 11:11:39, -19, 1742
2017-02-08 11:11:40, -20, 1631
2017-02-08 11:11:40, -20, 1437
2017-02-08 11:11:42, -20, 1527
2017-02-08 11:11:42, -21, 1514
2017-02-08 11:11:45, -21, 1407
2017-02-08 11:11:46, -19, 1642
2017-02-08 11:11:46, -21, 1222
2017-02-08 11:11:48, -21, 1221
2017-02-08 11:11:48, -19, 1820
2017-02-08 11:11:49, -21, 1448
2017-02-08 11:11:50, -21, 1233
2017-02-08 11:11:50, -20, 1511
2017-02-08 11:11:52, -20, 1544
2017-02-08 11:11:54, -21, 1318
2017-02-08 11:11:54, -21, 1218
2017-02-08 11:11:55, -21, 1440
2017-02-08 11:11:56, -21, 1325
2017-02-08 11:11:56, -21, 1463
2017-02-08 11:11:58, -21, 1421
2017-02-08 11:11:59, -21, 1210
2017-02-08 11:11:59, -20, 1506
2017-02-08 11:12:01, -19, 1538
2017-02-08 11:12:03, -20, 1445
2017-02-08 11:12:03, -21, 1541
2017-02-08 11:12:04, -20, 1533
2017-02-08 11:12:05, -21, 1296
2017-02-08 11:12:06, -21, 1376
2017-02-08 11:12:08, -21, 1330
2017-02-08 11:12:09, -21, 1312
2017-02-08 11:12:09, -21, 1322
2017-02-08 11:12:09, -21, 1468
2017-02-08 11:12:11, -20, 1487
2017-02-08 11:12:11, -20, 1353
2017-02-08 11:12:14, -20, 1479
2017-02-08 11:12:14, -20, 1670
2017-02-08 11:12:14, -21, 1341
2017-02-08 11:12:14, -20, 1750
2017-02-08 11:12:15, -20, 1338
2017-02-08 11:12:18, -21, 1348
2017-02-08 11:12:20, -20, 1542
2017-02-08 11:12:21, -20, 1431
2017-02-08 11:12:23, -21, 1396
2017-02-08 11:12:23, -21, 1559
2017-02-08 11:12:24, -21, 1353
2017-02-08 11:12:24, -20, 1620
2017-02-08 11:12:26, -19, 1647
2017-02-08 11:12:27, -21, 1256
2017-02-08 11:12:31, -19, 1557
2017-02-08 11:12:32, -19, 1676
2017-02-08 11:12:33, -20, 1631
2017-02-08 11:12:33, -20, 1502
2017-02-08 11:12:34, -20, 1575
2017-02-08 11:12:37, -19, 1582
2017-02-08 11:12:38, -20, 1469
2017-02-08 11:12:42, -20, 1390
2017-02-08 11:12:42, -20, 1492
2017-02-08 11:12:43, -21, 1364
2017-02-08 11:12:44, -20, 1714
2017-02-08 11:12:44, -19, 1701
2017-02-08 11:12:45, -21, 1265
2017-02-08 11:12:46, -21, 1578
2017-02-08 11:12:47, -20, 1557
2017-02-08 11:12:47, -21, 1334
2017-02-08 11:12:48, -19, 1575
2017-02-08 11:12:49, -21, 1370
2017-02-08 11:12:51, -18, 1912
2017-02-08 11:12:51, -19, 1592
2017-02-08 11:12:53, -19, 1572
2017-02-08 11:12:53, -21, 1295
2017-02-08 11:12:55, -21, 1454
2017-02-08 11:12:57, -21, 1241
2017-02-08 11:12:58, -20, 1707
2017-02-08 11:13:02, -21, 1550
2017-02-08 11:13:04, -19, 1562
2017-02-08 11:13:05, -21, 1265
2017-02-08 11:13:06, -20, 1582
2017-02-08 11:13:07, -21, 1220
2017-02-08 11:13:07, -21, 1504
2017-02-08 11:13:09, -21, 1342
2017-02-08 11:13:09, -21, 1299
2017-02-08 11:13:11, -20, 1646
2017-02-08 11:13:11, -20, 1757
2017-02-08 11:13:15, -21, 1355
2017-02-08 11:13:16, -19, 1578
